iter	Passed	Remaining
0	144	144840
1	146	73322
2	148	49404
3	150	37383
4	152	30270
5	153	25472
6	155	22040
7	157	19468
8	159	17509
9	161	15960
10	162	14620
11	164	13512
12	166	12606
13	167	11809
14	169	11100
15	170	10475
16	171	9925
17	174	9517
18	175	9077
19	177	8680
20	178	8343
21	180	8031
22	183	7775
23	184	7512
24	186	7279
25	188	7079
26	191	6887
27	192	6693
28	194	6516
29	196	6347
30	198	6189
31	199	6036
32	203	5956
33	205	5837
34	207	5712
35	208	5588
36	210	5474
37	212	5369
38	213	5264
39	217	5227
40	219	5135
41	221	5048
42	222	4962
43	224	4882
44	226	4803
45	228	4729
46	232	4713
47	234	4646
48	235	4579
49	237	4512
50	239	4452
51	241	4394
52	242	4338
53	246	4318
54	248	4265
55	249	4213
56	251	4165
57	253	4119
58	255	4076
59	257	4032
60	261	4019
61	262	3977
62	264	3932
63	266	3892
64	267	3854
65	269	3819
66	271	3785
67	274	3764
68	276	3730
69	278	3696
70	279	3661
71	281	3629
72	283	3597
73	284	3566
74	287	3543
75	290	3527
76	291	3496
77	293	3466
78	295	3439
79	296	3411
80	298	3383
81	300	3363
82	301	3329
83	304	3315
84	305	3291
85	307	3267
86	309	3243
87	310	3219
88	312	3198
89	315	3185
90	316	3164
91	319	3157
92	321	3137
93	323	3118
94	325	3096
95	327	3082
96	328	3062
97	330	3040
98	331	3019
99	334	3010
100	336	2991
101	337	2971
102	338	2950
103	340	2933
104	341	2913
105	343	2894
106	344	2874
107	345	2856
108	348	2847
109	350	2833
110	351	2815
111	352	2797
112	355	2788
113	356	2774
114	358	2759
115	360	2747
116	364	2750
117	365	2735
118	367	2722
119	369	2712
120	372	2702
121	373	2688
122	375	2678
123	380	2685
124	381	2672
125	383	2662
126	385	2648
127	387	2637
128	389	2628
129	390	2615
130	393	2611
131	395	2599
132	396	2587
133	398	2574
134	399	2562
135	401	2550
136	402	2538
137	404	2525
138	405	2513
139	408	2511
140	410	2503
141	412	2490
142	413	2480
143	415	2469
144	416	2458
145	418	2450
146	420	2442
147	425	2449
148	427	2439
149	428	2430
150	430	2421
151	432	2413
152	434	2404
153	440	2419
154	442	2412
155	444	2402
156	445	2394
157	447	2385
158	449	2375
159	450	2365
160	453	2364
161	455	2355
162	457	2346
163	458	2337
164	460	2328
165	461	2318
166	463	2309
167	464	2301
168	467	2300
169	469	2292
170	471	2283
171	472	2274
172	476	2277
173	477	2269
174	479	2261
175	484	2266
176	485	2257
177	487	2249
178	489	2243
179	490	2236
180	492	2228
181	494	2220
182	499	2230
183	501	2225
184	503	2219
185	505	2213
186	508	2209
187	510	2204
188	516	2215
189	518	2208
190	520	2203
191	522	2197
192	523	2189
193	524	2180
194	526	2172
195	528	2166
196	529	2159
197	531	2151
198	532	2143
199	535	2140
200	536	2133
201	537	2125
202	541	2126
203	543	2120
204	545	2114
205	546	2106
206	547	2097
207	549	2092
208	550	2084
209	552	2077
210	553	2069
211	557	2073
212	559	2067
213	560	2059
214	562	2055
215	564	2048
216	565	2041
217	567	2034
218	568	2026
219	572	2029
220	573	2023
221	575	2016
222	577	2011
223	578	2004
224	580	1997
225	581	1990
226	582	1983
227	583	1977
228	586	1975
229	587	1968
230	589	1961
231	590	1955
232	592	1950
233	593	1944
234	595	1937
235	596	1931
236	598	1925
237	601	1925
238	602	1919
239	604	1915
240	606	1909
241	607	1903
242	609	1897
243	610	1891
244	611	1884
245	612	1878
246	615	1877
247	617	1872
248	620	1872
249	623	1869
250	624	1863
251	625	1857
252	627	1851
253	628	1846
254	631	1843
255	633	1841
256	635	1837
257	637	1832
258	638	1826
259	640	1821
260	641	1816
261	644	1816
262	647	1814
263	649	1810
264	650	1805
265	652	1799
266	653	1795
267	655	1790
268	656	1785
269	662	1790
270	663	1785
271	664	1779
272	666	1775
273	668	1770
274	669	1765
275	671	1761
276	673	1756
277	676	1756
278	678	1752
279	679	1747
280	681	1742
281	682	1737
282	683	1732
283	685	1727
284	686	1722
285	690	1724
286	692	1720
287	693	1715
288	695	1711
289	697	1706
290	698	1702
291	700	1697
292	701	1693
293	705	1694
294	707	1690
295	709	1686
296	710	1682
297	712	1678
298	714	1674
299	715	1669
300	717	1666
301	719	1662
302	720	1658
303	722	1654
304	724	1650
305	725	1646
306	727	1641
307	729	1639
308	733	1641
309	736	1638
310	738	1635
311	740	1632
312	742	1628
313	743	1625
314	745	1620
315	748	1619
316	749	1615
317	751	1610
318	752	1605
319	753	1601
320	754	1596
321	756	1592
322	757	1588
323	759	1583
324	760	1579
325	763	1578
326	764	1573
327	765	1569
328	767	1564
